id	pub_date	position	address	education	salary	company	rate	duration
13715	2022-03-18	开发岗_0	北京/上海/杭州/深圳/南京/成都/厦门/西安/武汉/张家口/忻州/通辽/晋城/阳泉/赤峰/广州/长治	本科	4.5	字节跳动	0.99	17
13716	2022-03-05	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	7.2	字节跳动	0.99	17
13717	2022-04-14	运营岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	7.2	字节跳动	0.99	17
13718	2022-03-19	其他_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13719	2022-03-12	开发岗_1	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	1.3	字节跳动	0.99	1
13720	2022-03-07	开发岗_0	北京/上海/成都/厦门	本科	4.5	美团	0.99	1
13721	2022-03-04	开发岗_0	北京/杭州	本科	10.5	滴滴	0.97	20
13722	2022-03-30	其他_1	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	1.3	字节跳动	0.99	1
13723	2022-03-20	数据岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13724	2022-03-18	开发岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13725	2022-05-12	开发岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13726	2022-05-10	开发岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13727	2022-04-12	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13728	2022-04-14	算法岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13729	2022-03-04	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13730	2022-04-14	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13731	2022-05-14	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13732	2022-04-12	开发岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13733	2022-05-14	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13734	2022-05-19	数据岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13735	2022-03-04	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.99	1
13736	2022-03-12	数据岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	7.2	字节跳动	0.99	1
13737	2022-03-28	运营岗_0	北京/上海/广州/南京/深圳/杭州/成都/厦门/武汉/西安	本科	7.2	字节跳动	0.99	1
